b,DLE,DLE error,DLH ,DLH error,DL,Dl error
1.5,-9.15E-20,1.91E-20,-1.20E-20,-1.07E-21,-1.03472525377488E-19,1.80640128916026E-20
2.5,1.41E-20,-5.59E-22,-9.83E-22,7.71E-24,1.30815363614652E-20,-5.51637099453755E-22
3.5,7.42E-21,4.19E-22,-1.47E-22,-2.77E-24,7.27572006533542E-21,4.16458593621667E-22
4.5,3.10E-21,-1.51E-22,-3.83E-23,2.85E-24,3.06041984664989E-21,-1.48130430900656E-22
5.5,2.10E-21,-2.32E-22,-1.50E-23,2.29E-24,2.08182483142718E-21,-2.29648311357312E-22
6.5,1.23E-21,-1.45E-22,-5.56E-24,3.83E-25,1.22546221723934E-21,-1.44211229122418E-22
7.5,7.67E-22,-1.82E-24,-3.62E-24,1.77E-25,7.63703037367318E-22,-1.64499391888072E-24
8.5,5.10E-22,-2.22E-23,-1.69E-24,3.05E-26,5.08392090952352E-22,-2.21880852808684E-23
9.5,4.01E-22,2.75E-25,-9.65E-25,1.44E-25,3.99985585706058E-22,4.18593609496076E-25
10.5,2.74E-22,-1.67E-24,-5.12E-25,1.64E-25,2.73511494655317E-22,-1.50671025283781E-24
