l,DLE,DLEerror,DLH,DLHerror,DL,Dlerror
1,2.17E-21,-2.28E-22,0,0,2.16749427142962E-21,-2.27708546454074E-22
2,2.15E-21,-2.32E-22,-1.13E-23,2.54E-24,2.13933913304554E-21,-2.28992621363553E-22
3,2.11E-21,-2.32E-22,-1.5E-23,2.26E-24,2.09333729018899E-21,-2.29690975506174E-22
4,2.1E-21,-2.32E-22,-1.5E-23,2.3E-24,2.08229671204219E-21,-2.30202806978352E-22
5,2.1E-21,-2.32E-22,-1.51E-23,2.3E-24,2.08181405476687E-21,-2.29638677584854E-22
6,2.1E-21,-2.32E-22,-1.5E-23,2.29E-24,2.08183593662491E-21,-2.29647704392452E-22
7,2.1E-21,-2.32E-22,-1.5E-23,2.29E-24,2.08182475728373E-21,-2.29648482089762E-22
8,2.1E-21,-2.32E-22,-1.5E-23,2.29E-24,2.08182465892122E-21,-2.29648314165115E-22
9,2.1E-21,-2.32E-22,-1.5E-23,2.29E-24,2.08182484008925E-21,-2.29648313313826E-22
10,2.1E-21,-2.32E-22,-1.5E-23,2.29E-24,2.08182483142718E-21,-2.29648311357312E-22
